title,date,location,ticketLink,description,status
OKTAGON 68: Frankfurt,2026-03-21T18:00:00.000Z,Festhalle Frankfurt,https://oktagonmma.com/de/events/oktagon-68/,Massives MMA-Event in deiner Nachbarschaft! Christian Eckerlin und die Elite in Frankfurt.,published
PFL Europe: Berlin,2026-04-04T19:00:00.000Z,Uber Arena Berlin,https://pflmma.com,Die Professional Fighters League macht Station in der Hauptstadt.,published
We Love MMA 74: Frankfurt,2026-04-18T18:30:00.000Z,myticket Jahrhunderthalle,https://www.welovemma.de,Deutschlands größte MMA-Serie kehrt zurück nach Frankfurt.,published
GMC 38: Gelsenkirchen,2026-05-02T18:00:00.000Z,Rudolf Weber-Arena,https://www.german-mma.de,German MMA Championship mit hochklassigen Titelkämpfen.,published
NFC 21: Fighting Championship,2026-05-16T19:00:00.000Z,Maritim Hotel Düsseldorf,https://nfc-mma.de,National Fighting Championship - Die Talentschmiede des deutschen MMA.,published
OKTAGON 72: Oberhausen,2026-06-06T18:00:00.000Z,Rudolf Weber-Arena,https://oktagonmma.com,Nächster Mega-Stopp der Oktagon-Tour in NRW.,published
Glory Kickboxing: Rotterdam (DE-Special),2026-06-20T20:00:00.000Z,Ahoy Rotterdam,https://glorykickboxing.com,Zwar in Holland aber das Ziel für alle deutschen Kickbox-Fans.,published
K-1 World GP: Frankfurt,2026-07-04T18:00:00.000Z,myticket Jahrhunderthalle,https://k-1.world,Die legendäre K-1 Serie mit einem Grand Prix in Hessen.,published
We Love MMA 75: Hamburg,2026-08-22T18:30:00.000Z,Barclays Arena,,Sommer-Highlight im Norden – MMA Action pur.,published
Hessen-Boxcup Finale,2026-09-05T14:00:00.000Z,Böllenfalltor Halle Darmstadt,,Die besten Amateure und Nachwuchstalente aus ganz Hessen.,published
Elite MMA Championship (EMC) 15,2026-09-19T19:00:00.000Z,Utopolis Hanau,https://emc-mma.com,Spannende Kämpfe direkt vor den Toren Frankfurts.,published
NFC 22: Night of Champions,2026-10-10T19:00:00.000Z,Telekom Dome Bonn,https://nfc-mma.de,Große Titelkämpfe im Herbst.,published
We Love MMA 76: Stuttgart,2026-10-24T18:30:00.000Z,Porsche-Arena,https://welovemma.de,Der Süden bebt – die MMA Serie gastiert in Stuttgart.,published
OKTAGON 78: München,2026-11-14T18:00:00.000Z,Olympiahalle München,https://oktagonmma.com,Großer Jahresabschluss in der bayerischen Landeshauptstadt.,published
German MMA Finals 2026,2026-12-12T19:00:00.000Z,Westfalenhalle Dortmund,,Das Beste zum Schluss – die deutschen Meisterschaften.,published
