name,weightClass,record,gym,description,status,imageUrl
Christian Eckerlin,Welterweight,16-6-0,Frankfurt City Academy,Der König von Frankfurt und einer der größten Namen im deutschen MMA.,published,https://images.unsplash.com/photo-1552072092-7f9b8d63efcb?q=80&w=500
Christian Jungwirth,Welterweight,14-8-0,MMMA Stuttgart,Der 'Unbeugsame' - bekannt für seinen unglaublichen Kampfgeist.,published,https://images.unsplash.com/photo-1590556409491-055376722281?q=80&w=500
Max Coga,Featherweight,25-8-1,MMA Spirit Frankfurt,Einer der technisch versiertesten Kämpfer Deutschlands aus Frankfurt.,published,https://images.unsplash.com/photo-1511883040705-6011fad9ed39?q=80&w=500
Stephan Pütz,Light Heavyweight,21-5-0,MMA Spirit Frankfurt,Der 'Terminator' und ehemaliger Champion in mehreren Organisationen.,published,https://images.unsplash.com/photo-1544117518-2b461f58adba?q=80&w=500
Islam Dulatov,Welterweight,11-1-0,UFD Gym Düsseldorf,Ein aufstrebender UFC-Star mit unglaublicher Knockout-Power.,published,https://images.unsplash.com/photo-1599058917232-d750c1859d7c?q=80&w=500
Nasrat Haqparast,Lightweight,16-5-0,UFC Elite,Deutsch-Afghane und fester Bestandteil der UFC-Leichtgewichtsklasse.,published,https://plus.unsplash.com/premium_photo-1664537158422-9097ce1c54b6?q=80&w=500
Abus Magomedov,Middleweight,26-6-1,UFD Gym Düsseldorf,UFC-Kämpfer und einer der gefährlichsten Striker im Mittelgewicht.,published,https://images.unsplash.com/photo-1509563268479-0f004cf3f58b?q=80&w=500
Katharina Dalisda,Strawweight,11-3-0,MMA Spirit Frankfurt,Die erste deutsche Oktagon-Championesse und Stolz von Frankfurt.,published,https://images.unsplash.com/photo-1518531933037-91b2f5f229cc?q=80&w=500
Dustin Stoltzfus,Middleweight,15-6-0,Germania Frankfurt,UFC-Kämpfer mit starkem Grappling-Hintergrund.,published,https://images.unsplash.com/photo-1555597673-b21d5c935865?q=80&w=500
Daniel Weichel,Featherweight,42-15-0,MMA Spirit Frankfurt,Eine lebende Legende und langjähriger Bellator-Titelanwärter.,published,https://images.unsplash.com/photo-1591117207239-788bf85005bd?q=80&w=500
Agit Kabayel,Heavyweight,25-0-0,SES Boxing,Eigentlich Boxer - aber im Kampfsport-Kontext in Deutschland unverzichtbar.,published,https://images.unsplash.com/photo-1495555687398-3f50d6e79e1e?q=80&w=500
Konrad Dyrschka,Lightweight,16-4-0,UFD Gym Düsseldorf,Bekannt für seine harten Kämpfe bei OKTAGON und GMC.,published,https://images.unsplash.com/photo-1574375927938-d5a98e8ffe85?q=80&w=500
Zafar Mohsen,Featherweight,13-4-0,UFD Gym Düsseldorf,Ein extrem dynamischer Kämpfer mit spektakulärem Stil.,published,https://images.unsplash.com/photo-1626333534125-102506456073?q=80&w=500
Mickael Lebout,Welterweight,23-11-2,MMA Spirit Frankfurt,Erfahrener Kämpfer der Frankfurter Elite-Schmiede.,published,https://images.unsplash.com/photo-1517438476312-10d79c67750d?q=80&w=500
Kerim Engizek,Middleweight,20-4-0,UFD Gym Düsseldorf,Einer der populärsten Kämpfer mit riesiger Fangemeinde.,published,https://images.unsplash.com/photo-1555066931-4365d14bab8c?q=80&w=500
Saba Bolaghi,Featherweight,16-4-1,MMA Spirit Frankfurt,Ehemaliger Ringer-Europameister und Top-MMA Kämpfer.,published,https://images.unsplash.com/photo-1549719386-74dfcbf7dbed?q=80&w=500
Lom-Ali Eskijew,Featherweight,21-7-0,UFD Gym Düsseldorf,Bekannt für seine KSW-Schlachten und enorme Schlagkraft.,published,https://images.unsplash.com/photo-1552072805-2a9039d00e57?q=80&w=500
Michael Smolik,Heavyweight,5-0-0,Smolik Gym,Ehemaliger Kickbox-Weltmeister und jetzt MMA-Schwergewicht.,published,https://images.unsplash.com/photo-1508214751196-bcfd4ca60f91?q=80&w=500
David Zawada,Welterweight,19-9-0,UFD Gym Düsseldorf,PFL- und Ex-UFC Kämpfer mit sehr viel Erfahrung.,published,https://images.unsplash.com/photo-1517836357463-d25dfeac3438?q=80&w=500
Khusein Askhabov,Featherweight,23-1-0,American Top Team / DE,Ein internationales Top-Talent mit deutschen Wurzeln.,published,https://images.unsplash.com/photo-149175235542e-99a224c3d867?q=80&w=500
